cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2	task
True	1	5	LOC	0.16667	0.17391	0.17021	23	CRF_PA	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	5	ORG	0.25000	0.08333	0.12500	12	CRF_PA	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	5	PER	0.52500	0.38182	0.44211	55	CRF_PA	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	5	0	0.98350	0.99004	0.98676	3312	CRF_PA	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	5	1	0.51471	0.38889	0.44304	90	CRF_PA	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
False	1	1	LOC	0.27148	0.07117	0.11278	1110	CRF	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	ORG	0.21622	0.02649	0.04720	906	CRF	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	PER	0.28684	0.32319	0.30393	789	CRF	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	0	0.96446	0.98890	0.97653	59737	CRF	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NED
False	1	1	1	0.48644	0.22389	0.30664	2805	CRF	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NED
False	1	1	LOC	0.26616	0.06306	0.10197	1110	CRF_PA	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	ORG	0.29310	0.01876	0.03527	906	CRF_PA	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	PER	0.31871	0.31305	0.31586	789	CRF_PA	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	0	0.96364	0.99121	0.97723	59737	CRF_PA	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NED
False	1	1	1	0.52099	0.20357	0.29275	2805	CRF_PA	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NED
False	1	1	LOC	0.28462	0.11280	0.16157	328	CRF	2015.conll.freebase.horus	ner.txt.horus	NER
False	1	1	ORG	0.01852	0.00488	0.00772	205	CRF	2015.conll.freebase.horus	ner.txt.horus	NER
False	1	1	PER	0.44192	0.26158	0.32864	669	CRF	2015.conll.freebase.horus	ner.txt.horus	NER
False	1	1	0	0.98008	0.99331	0.98665	46057	CRF	2015.conll.freebase.horus	ner.txt.horus	NED
False	1	1	1	0.46897	0.22629	0.30527	1202	CRF	2015.conll.freebase.horus	ner.txt.horus	NED
False	1	1	LOC	0.19469	0.06707	0.09977	328	CRF_PA	2015.conll.freebase.horus	ner.txt.horus	NER
False	1	1	ORG	0.05556	0.00488	0.00897	205	CRF_PA	2015.conll.freebase.horus	ner.txt.horus	NER
False	1	1	PER	0.46597	0.26607	0.33873	669	CRF_PA	2015.conll.freebase.horus	ner.txt.horus	NER
False	1	1	0	0.97989	0.99455	0.98717	46057	CRF_PA	2015.conll.freebase.horus	ner.txt.horus	NED
False	1	1	1	0.51072	0.21797	0.30554	1202	CRF_PA	2015.conll.freebase.horus	ner.txt.horus	NED
False	1	1	LOC	0.17143	0.02459	0.04301	244	CRF	2015.conll.freebase.horus	emerging.test.annotated.horus	NER
False	1	1	ORG	0.00000	0.00000	0.00000	87	CRF	2015.conll.freebase.horus	emerging.test.annotated.horus	NER
False	1	1	PER	0.45813	0.16578	0.24346	561	CRF	2015.conll.freebase.horus	emerging.test.annotated.horus	NER
False	1	1	0	0.96727	0.99441	0.98065	22525	CRF	2015.conll.freebase.horus	emerging.test.annotated.horus	NED
False	1	1	1	0.51538	0.15022	0.23264	892	CRF	2015.conll.freebase.horus	emerging.test.annotated.horus	NED
False	1	1	LOC	0.25000	0.02869	0.05147	244	CRF_PA	2015.conll.freebase.horus	emerging.test.annotated.horus	NER
False	1	1	ORG	0.00000	0.00000	0.00000	87	CRF_PA	2015.conll.freebase.horus	emerging.test.annotated.horus	NER
False	1	1	PER	0.54651	0.16756	0.25648	561	CRF_PA	2015.conll.freebase.horus	emerging.test.annotated.horus	NER
False	1	1	0	0.96725	0.99663	0.98172	22525	CRF_PA	2015.conll.freebase.horus	emerging.test.annotated.horus	NED
False	1	1	1	0.63462	0.14798	0.24000	892	CRF_PA	2015.conll.freebase.horus	emerging.test.annotated.horus	NED
False	1	1	LOC	0.28302	0.09494	0.14218	158	CRF	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NER
False	1	1	ORG	0.00000	0.00000	0.00000	49	CRF	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NER
False	1	1	PER	0.59633	0.24074	0.34301	270	CRF	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NER
False	1	1	0	0.97672	0.99473	0.98565	15946	CRF	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NED
False	1	1	1	0.54098	0.20755	0.30000	477	CRF	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NED
False	1	1	LOC	0.30864	0.15823	0.20921	158	CRF_PA	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NER
False	1	1	ORG	0.03571	0.02041	0.02597	49	CRF_PA	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NER
