cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2	task
True	8	2	PER	0.80180	0.55975	0.65926	159	CRF_PA	wnut15.train	wnut15.train	NER
True	8	2	average	0.77005	0.41379	0.51713	0	CRF_PA	wnut15.train	wnut15.train	NER
True	8	2	0	0.98435	0.99752	0.99089	9270	CRF_PA	wnut15.train	wnut15.train	NED
True	8	2	1	0.83212	0.43678	0.57286	261	CRF_PA	wnut15.train	wnut15.train	NED
True	8	3	LOC	0.69231	0.28571	0.40449	63	CRF	wnut15.train	wnut15.train	NER
True	8	3	ORG	0.93333	0.34146	0.50000	41	CRF	wnut15.train	wnut15.train	NER
True	8	3	PER	0.78000	0.65546	0.71233	119	CRF	wnut15.train	wnut15.train	NER
True	8	3	average	0.78342	0.49327	0.58632	0	CRF	wnut15.train	wnut15.train	NER
True	8	3	0	0.98804	0.99693	0.99246	9113	CRF	wnut15.train	wnut15.train	NED
True	8	3	1	0.80142	0.50673	0.62088	223	CRF	wnut15.train	wnut15.train	NED
True	8	3	LOC	0.62500	0.23810	0.34483	63	CRF_PA	wnut15.train	wnut15.train	NER
True	8	3	ORG	0.70000	0.17073	0.27451	41	CRF_PA	wnut15.train	wnut15.train	NER
True	8	3	PER	0.71154	0.62185	0.66368	119	CRF_PA	wnut15.train	wnut15.train	NER
True	8	3	average	0.68497	0.43049	0.50205	0	CRF_PA	wnut15.train	wnut15.train	NER
True	8	3	0	0.98684	0.99605	0.99143	9113	CRF_PA	wnut15.train	wnut15.train	NED
True	8	3	1	0.73913	0.45740	0.56510	223	CRF_PA	wnut15.train	wnut15.train	NED
False	8	1	LOC	0.62195	0.32278	0.42500	158	CRF	wnut15.train	wnut15.dev	NER
False	8	1	ORG	0.57143	0.16327	0.25397	49	CRF	wnut15.train	wnut15.dev	NER
False	8	1	PER	0.61421	0.44322	0.51489	273	CRF	wnut15.train	wnut15.dev	NER
False	8	0	average	0.61239	0.37500	0.45867	0	CRF	wnut15.train	wnut15.dev	NER
