algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:1; run:2; label:PER; p:0.50909; r:0.26415; f1:0.34783; support:106 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:1; run:3; label:LOC; p:0.47059; r:0.14545; f1:0.22222; support:55 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:1; run:3; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:18 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:1; run:3; label:PER; p:0.60345; r:0.33654; f1:0.43210; support:104 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:1; run:4; label:LOC; p:0.58824; r:0.18182; f1:0.27778; support:55 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:1; run:4; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:10 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:1; run:4; label:PER; p:0.55932; r:0.27273; f1:0.36667; support:121 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:1; run:5; label:LOC; p:0.52381; r:0.24444; f1:0.33333; support:45 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:1; run:5; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:10 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:1; run:5; label:PER; p:0.53571; r:0.30000; f1:0.38462; support:100 
algo:DT; ds1:emerging.test.annotated.horus; ds2:ner.txt.horus; cross-validation:False; config:1; run:1; label:LOC; p:0.19231; r:0.06098; f1:0.09259; support:328 
