cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2
False	1	1	PER	0.48133	0.34679	0.40313	669	DT	emerging.test.annotated.horus	ner.txt.horus
False	1	1	LOC	0.19048	0.07595	0.10860	158	DT	emerging.test.annotated.horus	2015.conll.freebase.horus
False	1	1	ORG	0.00000	0.00000	0.00000	49	DT	emerging.test.annotated.horus	2015.conll.freebase.horus
False	1	1	PER	0.37931	0.40741	0.39286	270	DT	emerging.test.annotated.horus	2015.conll.freebase.horus
False	1	1	LOC	0.47321	0.09550	0.15892	1110	DT	ner.txt.horus	2016.conll.freebase.ascii.txt.horus
False	1	1	ORG	0.21818	0.01325	0.02497	906	DT	ner.txt.horus	2016.conll.freebase.ascii.txt.horus
False	1	1	PER	0.30643	0.33207	0.31873	789	DT	ner.txt.horus	2016.conll.freebase.ascii.txt.horus
False	1	1	LOC	0.26923	0.02869	0.05185	244	DT	ner.txt.horus	emerging.test.annotated.horus
False	1	1	ORG	0.25000	0.02299	0.04211	87	DT	ner.txt.horus	emerging.test.annotated.horus
False	1	1	PER	0.61828	0.20499	0.30790	561	DT	ner.txt.horus	emerging.test.annotated.horus
True	1	1	LOC	0.72222	0.15294	0.25243	85	DT	ner.txt.horus	ner.txt.horus
True	1	1	ORG	0.57143	0.17778	0.27119	45	DT	ner.txt.horus	ner.txt.horus
True	1	1	PER	0.65000	0.38519	0.48372	135	DT	ner.txt.horus	ner.txt.horus
True	1	2	LOC	0.52632	0.13514	0.21505	74	DT	ner.txt.horus	ner.txt.horus
True	1	2	ORG	0.55556	0.13889	0.22222	36	DT	ner.txt.horus	ner.txt.horus
True	1	2	PER	0.67532	0.41270	0.51232	126	DT	ner.txt.horus	ner.txt.horus
True	1	3	LOC	0.55000	0.18033	0.27160	61	DT	ner.txt.horus	ner.txt.horus
True	1	3	ORG	0.68750	0.25000	0.36667	44	DT	ner.txt.horus	ner.txt.horus
True	1	3	PER	0.61972	0.36066	0.45596	122	DT	ner.txt.horus	ner.txt.horus
True	1	4	LOC	0.73684	0.21212	0.32941	66	DT	ner.txt.horus	ner.txt.horus
True	1	4	ORG	0.81818	0.22500	0.35294	40	DT	ner.txt.horus	ner.txt.horus
True	1	4	PER	0.64474	0.42982	0.51579	114	DT	ner.txt.horus	ner.txt.horus
True	1	5	LOC	0.50000	0.16949	0.25316	59	DT	ner.txt.horus	ner.txt.horus
True	1	5	ORG	0.66667	0.17143	0.27273	35	DT	ner.txt.horus	ner.txt.horus
True	1	5	PER	0.67143	0.34815	0.45854	135	DT	ner.txt.horus	ner.txt.horus
False	1	1	LOC	0.20930	0.05696	0.08955	158	DT	ner.txt.horus	2015.conll.freebase.horus
False	1	1	ORG	0.00000	0.00000	0.00000	49	DT	ner.txt.horus	2015.conll.freebase.horus
False	1	1	PER	0.56548	0.35185	0.43379	270	DT	ner.txt.horus	2015.conll.freebase.horus
False	1	1	LOC	0.39474	0.02703	0.05059	1110	DT	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus
False	1	1	ORG	0.00000	0.00000	0.00000	906	DT	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus
False	1	1	PER	0.33726	0.18124	0.23578	789	DT	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus
False	1	1	LOC	0.40000	0.00820	0.01606	244	DT	2015.conll.freebase.horus	emerging.test.annotated.horus
False	1	1	ORG	0.00000	0.00000	0.00000	87	DT	2015.conll.freebase.horus	emerging.test.annotated.horus
False	1	1	PER	0.62712	0.06595	0.11935	561	DT	2015.conll.freebase.horus	emerging.test.annotated.horus
False	1	1	LOC	0.22727	0.01524	0.02857	328	DT	2015.conll.freebase.horus	ner.txt.horus
False	1	1	ORG	0.00000	0.00000	0.00000	205	DT	2015.conll.freebase.horus	ner.txt.horus
False	1	1	PER	0.61972	0.13154	0.21702	669	DT	2015.conll.freebase.horus	ner.txt.horus
True	1	1	LOC	0.20000	0.02326	0.04167	43	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	1	ORG	0.00000	0.00000	0.00000	6	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	1	PER	0.64286	0.15789	0.25352	57	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	2	LOC	0.25000	0.03125	0.05556	32	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	2	ORG	0.00000	0.00000	0.00000	8	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	2	PER	0.58824	0.17241	0.26667	58	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	3	LOC	0.00000	0.00000	0.00000	28	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	3	ORG	0.00000	0.00000	0.00000	10	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	3	PER	0.64706	0.18966	0.29333	58	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	4	LOC	0.00000	0.00000	0.00000	36	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	4	ORG	0.00000	0.00000	0.00000	11	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	4	PER	0.59091	0.21311	0.31325	61	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	5	LOC	0.33333	0.04167	0.07407	24	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	5	ORG	0.00000	0.00000	0.00000	13	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	1	5	PER	0.53846	0.13208	0.21212	53	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	1	LOC	0.64151	0.29825	0.40719	228	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	1	ORG	0.61111	0.12865	0.21256	171	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	1	PER	0.63235	0.25444	0.36287	169	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	2	LOC	0.63433	0.35270	0.45333	241	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	2	ORG	0.63043	0.16201	0.25778	179	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	2	PER	0.45977	0.25478	0.32787	157	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	3	LOC	0.58915	0.33188	0.42458	229	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	3	ORG	0.64286	0.11842	0.20000	228	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	3	PER	0.54023	0.26111	0.35206	180	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	4	LOC	0.64029	0.39035	0.48501	228	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	4	ORG	0.56757	0.12281	0.20192	171	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	4	PER	0.57895	0.35032	0.43651	157	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	5	LOC	0.63571	0.41014	0.49860	217	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	5	ORG	0.53061	0.13333	0.21311	195	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	5	PER	0.51807	0.30714	0.38565	140	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	LOC	0.34211	0.10656	0.16250	244	DT	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus
False	2	1	ORG	0.08333	0.03448	0.04878	87	DT	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus
