cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2	task
True	1	1	ORG	0.56122	0.32164	0.40892	171	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	1	PER	0.59016	0.21302	0.31304	169	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	1	0	0.96994	0.99179	0.98075	11941	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	1	1	0.67224	0.35387	0.46367	568	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	2	LOC	0.66406	0.35270	0.46070	241	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	2	ORG	0.66234	0.28492	0.39844	179	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	2	PER	0.46269	0.19745	0.27679	157	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	2	0	0.96878	0.99355	0.98101	11932	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	2	1	0.71691	0.33795	0.45936	577	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	3	LOC	0.66393	0.35371	0.46154	229	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	3	ORG	0.67033	0.26754	0.38245	228	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	3	PER	0.43836	0.17778	0.25296	180	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	3	0	0.96474	0.99326	0.97879	11872	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	3	1	0.72028	0.32339	0.44637	637	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	4	LOC	0.68142	0.33772	0.45161	228	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	4	ORG	0.55952	0.27485	0.36863	171	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	4	PER	0.46269	0.19745	0.27679	157	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	4	0	0.96897	0.99264	0.98066	11953	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	4	1	0.66667	0.31655	0.42927	556	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	5	LOC	0.61765	0.38710	0.47592	217	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	5	ORG	0.64706	0.28205	0.39286	195	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	5	PER	0.45588	0.22143	0.29808	140	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	5	0	0.97095	0.99231	0.98151	11957	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	5	1	0.68166	0.35688	0.46849	552	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
False	1	1	LOC	0.34109	0.13415	0.19256	328	DT	2016.conll.freebase.ascii.txt.horus	ner.txt.horus	NER
False	1	1	ORG	0.10448	0.03415	0.05147	205	DT	2016.conll.freebase.ascii.txt.horus	ner.txt.horus	NER
False	1	1	PER	0.67516	0.15845	0.25666	669	DT	2016.conll.freebase.ascii.txt.horus	ner.txt.horus	NER
False	1	1	0	0.97885	0.99690	0.98779	46057	DT	2016.conll.freebase.ascii.txt.horus	ner.txt.horus	NED
False	1	1	1	0.59490	0.17471	0.27010	1202	DT	2016.conll.freebase.ascii.txt.horus	ner.txt.horus	NED
False	1	1	LOC	0.27273	0.06148	0.10033	244	DT	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus	NER
False	1	1	ORG	0.09091	0.04598	0.06107	87	DT	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus	NER
False	1	1	PER	0.63889	0.08200	0.14534	561	DT	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus	NER
False	1	1	0	0.96614	0.99707	0.98136	22525	DT	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus	NED
False	1	1	1	0.61404	0.11771	0.19755	892	DT	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus	NED
False	1	1	LOC	0.26316	0.06329	0.10204	158	DT	ner.txt.horus	2015.conll.freebase.horus	NER
False	1	1	ORG	0.00000	0.00000	0.00000	49	DT	ner.txt.horus	2015.conll.freebase.horus	NER
False	1	1	PER	0.51977	0.34074	0.41163	270	DT	ner.txt.horus	2015.conll.freebase.horus	NER
False	1	1	0	0.97820	0.99354	0.98581	15946	DT	ner.txt.horus	2015.conll.freebase.horus	NED
False	1	1	1	0.54626	0.25996	0.35227	477	DT	ner.txt.horus	2015.conll.freebase.horus	NED
